编号,SMILES,InChL,HomoEnergy,LumoEnergy,EnergyGap,偶极矩,极化率
220,CC(C)(C)C#N,"1S/C5H9N/c1-5(2,3)4-6/h1-3H3",-0.3156,0.0438,0.3594,3.9525,56.9
221,CC(C)(N)C#N,"1S/C4H8N2/c1-4(2,6)3-5/h6H2,1-2H3",-0.2675,0.0349,0.3024,2.8519,53.67
251,CC(C)CC#N,"1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3",-0.3161,0.0346,0.3507,3.9826,57.19
254,CN(C)CC#N,"1S/C4H8N2/c1-6(2)4-3-5/h4H2,1-2H3",-0.2371,0.0217,0.2588,4.0824,54.43
304,CN1CC1(C)C,"1S/C5H11N/c1-5(2)4-6(5)3/h4H2,1-3H3",-0.219,0.0873,0.3063,1.1514,60.96
318,CC12CN(C1)C2,"1S/C5H9N/c1-5-2-6(3-5)4-5/h2-4H2,1H3",-0.2257,0.0834,0.3091,1.9709,57.23
328,CC(C#C)C#N,"1S/C5H5N/c1-3-5(2)4-6/h1,5H,2H3",-0.2879,0.0116,0.2995,3.7481,51.99
329,CC(C#N)C#N,"1S/C4H4N2/c1-4(2-5)3-6/h4H,1H3",-0.3433,-0.0129,0.3304,4.1272,47.23
330,NC(C#C)C#N,"1S/C4H4N2/c1-2-4(6)3-5/h1,4H,6H2",-0.2798,-0.003,0.2768,2.5088,48.67
331,NC(C#N)C#N,"1S/C3H3N3/c4-1-3(6)2-5/h3H,6H2",-0.3037,-0.0279,0.2758,3.6178,43.93
343,CN=C(N)C#N,"1S/C3H5N3/c1-6-3(5)2-4/h1H3,(H2,5,6)",-0.2622,-0.0399,0.2223,5.1006,50.92
347,CNC(=N)C#N,"1S/C3H5N3/c1-6-3(5)2-4/h1H3,(H2,5,6)",-0.2527,-0.0407,0.2121,3.0753,50.21
372,CCC(C)C#N,"1S/C5H9N/c1-3-5(2)4-6/h5H,3H2,1-2H3",-0.3144,0.0383,0.3527,4.0632,57.23
373,CCC(N)C#N,"1S/C4H8N2/c1-2-4(6)3-5/h4H,2,6H2,1H3",-0.2695,0.0286,0.298,2.8538,54.01
376,CNC(C)C#N,"1S/C4H8N2/c1-4(3-5)6-2/h4,6H,1-2H3",-0.2424,0.0288,0.2711,4.4075,54.08
380,NCC(N)C#N,"1S/C3H7N3/c4-1-3(6)2-5/h3H,1,4,6H2",-0.2534,0.0266,0.28,4.8739,50.26
399,CC1(CC1)C#N,"1S/C5H7N/c1-5(4-6)2-3-5/h2-3H2,1H3",-0.2853,0.037,0.3224,4.1425,54.31
400,CC1(CN1)C#C,"1S/C5H7N/c1-3-5(2)4-6-5/h1,6H,4H2,2H3",-0.2444,0.0441,0.2885,1.9146,56
401,CC1(CN1)C#N,"1S/C4H6N2/c1-4(2-5)3-6-4/h6H,3H2,1H3",-0.2743,0.0226,0.2969,4.9191,50.81
404,NC1(CC1)C#N,"1S/C4H6N2/c5-3-4(6)1-2-4/h1-2,6H2",-0.2722,0.029,0.3012,3.0748,51.03
437,N=C1CN=CN1,"1S/C3H5N3/c4-3-1-5-2-6-3/h2H,1H2,(H2,4,5,6)",-0.2323,-0.0049,0.2275,3.4388,48.64
475,CC1C(C)N1C,"1S/C5H11N/c1-4-5(2)6(4)3/h4-5H,1-3H3",-0.2104,0.0826,0.293,1.3293,60.42
485,C#CC#CC#N,1S/C5HN/c1-2-3-4-5-6/h1H,-0.284,-0.085,0.199,4.5941,63.48
486,N#CC#CC#N,1S/C4N2/c5-3-1-2-4-6,-0.3277,-0.1164,0.2113,0,55.28
488,C#CCCC#N,"1S/C5H5N/c1-2-3-4-5-6/h1H,3-4H2",-0.2821,0.0193,0.3014,3.4446,52.71
489,N#CCCC#N,1S/C4H4N2/c5-3-1-2-4-6/h1-2H2,-0.3397,-0.0013,0.3384,0.0004,47.69
507,CC#CCC#N,"1S/C5H5N/c1-2-3-4-5-6/h4H2,1H3",-0.2693,0.0206,0.2899,4.0685,54.4
512,CCC#CC#N,"1S/C5H5N/c1-2-3-4-5-6/h2H2,1H3",-0.2842,-0.0374,0.2468,5.2846,59.94
526,CCCCC#N,"1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",-0.3164,0.0376,0.354,4.1681,57.89
527,CCNCC#N,"1S/C4H8N2/c1-2-6-4-3-5/h6H,2,4H2,1H3",-0.2476,0.023,0.2706,4.2405,54.99
554,N#CC1CCC1,"1S/C5H7N/c6-4-5-2-1-3-5/h5H,1-3H2",-0.3085,0.0282,0.3367,4.1766,54.24
555,N#CC1CCN1,"1S/C4H6N2/c5-3-4-1-2-6-4/h4,6H,1-2H2",-0.2526,0.0144,0.267,3.0536,50.2
573,C#CCN1CC1,"1S/C5H7N/c1-2-3-6-4-5-6/h1H,3-5H2",-0.239,0.0381,0.2771,0.8803,54.94
574,N#CCC1CC1,"1S/C5H7N/c6-4-3-5-1-2-5/h5H,1-3H2",-0.3029,0.0346,0.3375,4.0027,53.78
575,N#CCC1CN1,"1S/C4H6N2/c5-2-1-4-3-6-4/h4,6H,1,3H2",-0.2641,0.0237,0.2878,4.3345,50.4
577,N#CCN1CC1,1S/C4H6N2/c5-1-2-6-3-4-6/h2-4H2,-0.2611,0.0199,0.281,4.358,50.95
586,CC#CC1CN1,"1S/C5H7N/c1-2-3-5-4-6-5/h5-6H,4H2,1H3",-0.229,0.0408,0.2698,1.9282,59.57
590,CCCN1CC1,"1S/C5H11N/c1-2-3-6-4-5-6/h2-5H2,1H3",-0.2296,0.0931,0.3227,1.0196,61.14
599,CC1CC1C#N,"1S/C5H7N/c1-4-2-5(4)3-6/h4-5H,2H2,1H3",-0.2867,0.0307,0.3174,4.1979,54.41
600,CC1NC1C#C,"1S/C5H7N/c1-3-5-4(2)6-5/h1,4-6H,2H3",-0.2454,0.0378,0.2832,1.6946,56.27
601,CC1NC1C#N,"1S/C4H6N2/c1-3-4(2-5)6-3/h3-4,6H,1H3",-0.2776,0.016,0.2936,4.7574,51.08
604,CN1CC1C#C,"1S/C5H7N/c1-3-5-4-6(5)2/h1,5H,4H2,2H3",-0.2293,0.0338,0.2631,0.9125,56.55
605,CN1CC1C#N,"1S/C4H6N2/c1-6-3-4(6)2-5/h4H,3H2,1H3",-0.2579,0.0112,0.2692,3.0219,51.35
619,CCC1CN1C,"1S/C5H11N/c1-3-5-4-6(5)2/h5H,3-4H2,1-2H3",-0.22,0.0865,0.3065,1.2559,60.65
621,CCN1CC1C,"1S/C5H11N/c1-3-6-4-5(6)2/h5H,3-4H2,1-2H3",-0.2199,0.0929,0.3128,1.1836,61.07
636,CC(C)N1CC1,"1S/C5H11N/c1-5(2)6-3-4-6/h5H,3-4H2,1-2H3",-0.2299,0.0898,0.3196,1.0303,60.85
671,C1C=CC2NC12,"1S/C5H7N/c1-2-4-5(3-1)6-4/h1-2,4-6H,3H2",-0.2299,0.0171,0.247,1.4999,53.83
696,C1C2C3CN2C13,"1S/C5H7N/c1-4-3-2-6(4)5(1)3/h3-5H,1-2H2",-0.2293,0.0946,0.324,1.6815,53.69
698,N1C2C3NC2C13,1S/C4H6N2/c5-1-2-4(5)3(1)6-2/h1-6H,-0.2251,0.0625,0.2876,1.5668,49.54
703,C1CC1N1CC1,"1S/C5H9N/c1-2-5(1)6-3-4-6/h5H,1-4H2",-0.2188,0.0925,0.3114,1.0782,56.86
704,C1NC1C1CN1,"1S/C4H8N2/c1-3(5-1)4-2-6-4/h3-6H,1-2H2",-0.2328,0.0704,0.3032,2.8886,53.03
708,C1C2C1C1NC21,"1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2",-0.2059,0.0799,0.2857,1.6601,52.06
710,C1C2C1N1CC21,"1S/C5H7N/c1-3-4(1)6-2-5(3)6/h3-5H,1-2H2",-0.2206,0.0711,0.2917,1.5349,52
711,N1C2C1C1NC21,1S/C4H6N2/c5-1-2(5)4-3(1)6-4/h1-6H,-0.2009,0.0708,0.2717,2.8506,48.92
714,C1C2C3C1CN23,"1S/C5H7N/c1-3-2-6-4(1)5(3)6/h3-5H,1-2H2",-0.2359,0.0934,0.3294,1.7558,52.12
716,C1C2C3CC1N23,"1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2",-0.2409,0.0905,0.3314,1.6922,52.04
717,C1C2C3CN1C23,"1S/C5H7N/c1-3-4-2-6(1)5(3)4/h3-5H,1-2H2",-0.2238,0.0883,0.3121,1.6597,52.16
720,C12C3C1N1C2C31,1S/C5H5N/c1-2-3(1)6-4(1)5(2)6/h1-5H,-0.2152,0.0669,0.2821,1.9051,47.5
721,C1=CN=NC=C1,1S/C4H4N2/c1-2-4-6-5-3-1/h1-4H,-0.2329,-0.0503,0.1826,3.9853,48.99
722,C1=CN=NN=C1,1S/C3H3N3/c1-2-4-6-5-3-1/h1-3H,-0.2556,-0.0696,0.186,4.753,45.02
723,C1=NN=CN=N1,1S/C2H2N4/c1-3-5-2-6-4-1/h1-2H,-0.2475,-0.1121,0.1355,0.0004,41.23
724,C1=NN=NC=N1,1S/C2H2N4/c1-3-2-5-6-4-1/h1-2H,-0.2631,-0.1005,0.1627,2.5272,40.74
725,C1=NN=NN=C1,1S/C2H2N4/c1-2-4-6-5-3-1/h1-2H,-0.2639,-0.0979,0.166,4.38,41.36
726,CC1=CC=NN1,"1S/C4H6N2/c1-4-2-3-5-6-4/h2-3H,1H3,(H,5,6)",-0.2317,0.026,0.2577,2.6766,51.32
728,CC1=CN=NN1,"1S/C3H5N3/c1-3-2-4-6-5-3/h2H,1H3,(H,4,5,6)",-0.251,0.0018,0.2527,4.8091,47.65
730,CC1=CNN=C1,"1S/C4H6N2/c1-4-2-5-6-3-4/h2-3H,1H3,(H,5,6)",-0.2321,0.028,0.2601,2.2444,51.05
731,CC1=CNN=N1,"1S/C3H5N3/c1-3-2-4-6-5-3/h2H,1H3,(H,4,5,6)",-0.2499,0.0027,0.2526,4.1169,47.56
734,CC1=NC=NN1,"1S/C3H5N3/c1-3-4-2-5-6-3/h2H,1H3,(H,4,5,6)",-0.2565,0.011,0.2675,3.1055,46.94
736,CC1=NNC=C1,"1S/C4H6N2/c1-4-2-3-5-6-4/h2-3H,1H3,(H,5,6)",-0.2393,0.0296,0.2689,1.9119,51.26
737,CC1=NNC=N1,"1S/C3H5N3/c1-3-4-2-5-6-3/h2H,1H3,(H,4,5,6)",-0.2566,0.0134,0.27,2.3091,47.01
738,CC1=NNN=C1,"1S/C3H5N3/c1-3-2-4-6-5-3/h2H,1H3,(H,4,5,6)",-0.2584,0.0012,0.2596,0.5006,47.14
739,CC1=NNN=N1,"1S/C2H4N4/c1-2-3-5-6-4-2/h1H3,(H,3,4,5,6)",-0.2882,-0.0242,0.264,2.0655,43.44
744,CN1C=CC=N1,"1S/C4H6N2/c1-6-4-2-3-5-6/h2-4H,1H3",-0.2378,0.0247,0.2625,2.2871,51.67
745,CN1C=CN=N1,"1S/C3H5N3/c1-6-3-2-4-5-6/h2-3H,1H3",-0.2576,0.0014,0.2591,4.458,47.81
746,CN1C=NC=N1,"1S/C3H5N3/c1-6-3-4-2-5-6/h2-3H,1H3",-0.2624,0.0091,0.2716,3.1995,47.14
747,CN1C=NN=C1,"1S/C3H5N3/c1-6-2-4-5-3-6/h2-3H,1H3",-0.2491,0.0168,0.2659,5.9568,46.86
748,CN1C=NN=N1,"1S/C2H4N4/c1-6-2-3-4-5-6/h2H,1H3",-0.2827,-0.0149,0.2678,5.7041,43.54
749,CN1N=CC=N1,"1S/C3H5N3/c1-6-4-2-3-5-6/h2-3H,1H3",-0.2587,-0.0011,0.2577,0.4905,47.91
750,CN1N=CN=N1,"1S/C2H4N4/c1-6-4-2-3-5-6/h2H,1H3",-0.2907,-0.0245,0.2662,2.7916,43.9
751,CN1N=NN=N1,1S/CH3N5/c1-6-4-2-3-5-6/h1H3,-0.3198,-0.0474,0.2723,4.7538,40.22
753,N=C1NN=NN1,"1S/CH3N5/c2-1-3-5-6-4-1/h(H3,2,3,4,5,6)",-0.2243,-0.0198,0.2045,1.4387,41.35
756,NC1=CC=NN1,"1S/C3H5N3/c4-3-1-2-5-6-3/h1-2H,(H3,4,5,6)",-0.206,0.038,0.244,3.385,47.71
758,NC1=CN=NN1,"1S/C2H4N4/c3-2-1-4-6-5-2/h1H,(H3,3,4,5,6)",-0.2234,0.0126,0.236,5.383,44.26
760,NC1=CNN=C1,"1S/C3H5N3/c4-3-1-5-6-2-3/h1-2H,4H2,(H,5,6)",-0.1956,0.0301,0.2257,2.6547,47.66
761,NC1=CNN=N1,"1S/C2H4N4/c3-2-1-4-6-5-2/h1H,(H3,3,4,5,6)",-0.2126,0.0044,0.217,4.0185,44.3
764,NC1=NC=NN1,"1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",-0.2268,0.0283,0.255,3.6291,43.39
766,NC1=NNC=C1,"1S/C3H5N3/c4-3-1-2-5-6-3/h1-2H,(H3,4,5,6)",-0.2006,0.0347,0.2353,1.7832,47.71
767,NC1=NNC=N1,"1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",-0.2143,0.0189,0.2332,1.9435,43.5
768,NC1=NNN=C1,"1S/C2H4N4/c3-2-1-4-6-5-2/h1H,(H3,3,4,5,6)",-0.2181,0.006,0.2241,1.525,43.82
769,NC1=NNN=N1,"1S/CH3N5/c2-1-3-5-6-4-1/h(H3,2,3,4,5,6)",-0.2385,-0.0191,0.2194,2.3205,40.14
832,CC1=CC(C)=CN1,"1S/C6H9N/c1-5-3-6(2)7-4-5/h3-4,7H,1-2H3",-0.1894,0.0527,0.2421,1.7549,68.34
834,CC1=CC(N)=CN1,"1S/C5H8N2/c1-4-2-5(6)3-7-4/h2-3,7H,6H2,1H3",-0.1686,0.0552,0.2239,1.7982,64.62
838,CC1=CNC(N)=C1,"1S/C5H8N2/c1-4-2-5(6)7-3-4/h2-3,7H,6H2,1H3",-0.1791,0.0592,0.2383,1.4975,64.21
844,CC1=NC(C)=CN1,"1S/C5H8N2/c1-4-3-6-5(2)7-4/h3H,1-2H3,(H,6,7)",-0.206,0.0397,0.2457,3.2012,64.01
849,NC1=CC(N)=CN1,"1S/C4H7N3/c5-3-1-4(6)7-2-3/h1-2,7H,5-6H2",-0.1637,0.0612,0.225,1.9695,60.5
861,CC1=CC=C(C)N1,"1S/C6H9N/c1-5-3-4-6(2)7-5/h3-4,7H,1-2H3",-0.1849,0.0493,0.2342,1.8965,68.88
863,CC1=CC=C(N)N1,"1S/C5H8N2/c1-4-2-3-5(6)7-4/h2-3,7H,6H2,1H3",-0.1766,0.0551,0.2317,1.4242,64.74
872,NC1=CC=C(N)N1,"1S/C4H7N3/c5-3-1-2-4(6)7-3/h1-2,7H,5-6H2",-0.171,0.0618,0.2327,0.3173,60.48
900,CN1C=CC(C)=C1,"1S/C6H9N/c1-6-3-4-7(2)5-6/h3-5H,1-2H3",-0.1961,0.0494,0.2455,1.8384,68.21
901,CN1C=CC(N)=C1,"1S/C5H8N2/c1-7-3-2-5(6)4-7/h2-4H,6H2,1H3",-0.1719,0.0525,0.2244,1.8575,64.76
903,CN1C=NC(C)=C1,"1S/C5H8N2/c1-5-3-7(2)4-6-5/h3-4H,1-2H3",-0.2122,0.0367,0.249,3.5741,63.83
904,CN1C=NC(N)=C1,"1S/C4H7N3/c1-7-2-4(5)6-3-7/h2-3H,5H2,1H3",-0.1822,0.0386,0.2207,3.1927,60.5
907,N=C1N=CNC=N1,"1S/C3H4N4/c4-3-6-1-5-2-7-3/h1-2H,(H2,4,5,6,7)",-0.2328,-0.0391,0.1937,6.8848,55.72
914,N=C1NC=NC=N1,"1S/C3H4N4/c4-3-6-1-5-2-7-3/h1-2H,(H2,4,5,6,7)",-0.2379,-0.0605,0.1774,2.5204,55.13
931,CC1=CC=NC=C1,"1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",-0.2489,-0.0177,0.2312,2.5781,65.39
932,CC1=CN=CC=C1,"1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",-0.248,-0.0209,0.2272,2.344,65.6
933,CC1=CN=CC=N1,"1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",-0.2438,-0.0469,0.1969,0.5825,61.88
934,CC1=CN=CN=C1,"1S/C5H6N2/c1-5-2-6-4-7-3-5/h2-4H,1H3",-0.2478,-0.0379,0.2099,2.678,60.88
935,CC1=NC=CC=C1,"1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",-0.2473,-0.0197,0.2276,1.7418,65.77
936,CC1=NC=CC=N1,"1S/C5H6N2/c1-5-6-3-2-4-7-5/h2-4H,1H3",-0.2443,-0.0361,0.2082,1.565,61.2
937,CC1=NC=CN=C1,"1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",-0.2438,-0.0469,0.1969,0.5825,61.88
938,CC1=NC=NC=C1,"1S/C5H6N2/c1-5-2-3-6-4-7-5/h2-4H,1H3",-0.2484,-0.0362,0.2122,2.4107,60.93
939,CC1=NC=NC=N1,"1S/C4H5N3/c1-4-6-2-5-3-7-4/h2-3H,1H3",-0.2666,-0.0481,0.2184,0.7915,56.17
940,NC1=CC=CC=C1,"1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",-0.1991,0.0086,0.2077,1.6318,67.3
941,NC1=CN=CC=C1,"1S/C5H6N2/c6-5-2-1-3-7-4-5/h1-4H,6H2",-0.2124,-0.0137,0.1987,3.1429,63.26
942,NC1=CN=CC=N1,"1S/C4H5N3/c5-4-3-6-1-2-7-4/h1-3H,(H2,5,7)",-0.2239,-0.0358,0.1881,2.024,59.71
943,NC1=CN=CN=C1,"1S/C4H5N3/c5-4-1-6-3-7-2-4/h1-3H,5H2",-0.2275,-0.0332,0.1943,3.7857,58.89
944,NC1=NC=CC=C1,"1S/C5H6N2/c6-5-3-1-2-4-7-5/h1-4H,(H2,6,7)",-0.2112,-0.0104,0.2008,1.8847,63.35
945,NC1=NC=CC=N1,"1S/C4H5N3/c5-4-6-2-1-3-7-4/h1-3H,(H2,5,6,7)",-0.2261,-0.0272,0.1989,0.6185,58.83
946,NC1=NC=CN=C1,"1S/C4H5N3/c5-4-3-6-1-2-7-4/h1-3H,(H2,5,7)",-0.2239,-0.0357,0.1881,2.0249,59.71
947,NC1=NC=NC=C1,"1S/C4H5N3/c5-4-1-2-6-3-7-4/h1-3H,(H2,5,6,7)",-0.2369,-0.0189,0.218,3.6179,58.46
948,NC1=NC=NC=N1,"1S/C3H4N4/c4-3-6-1-5-2-7-3/h1-2H,(H2,4,5,6,7)",-0.2547,-0.0356,0.2191,2.6127,53.66
959,CC1=C(C)C=CN1,"1S/C6H9N/c1-5-3-4-7-6(5)2/h3-4,7H,1-2H3",-0.1892,0.0522,0.2415,1.7538,67.73
961,CC1=C(C)N=CN1,"1S/C5H8N2/c1-4-5(2)7-3-6-4/h3H,1-2H3,(H,6,7)",-0.2061,0.0383,0.2443,3.4972,63.54
963,CC1=C(N)C=CN1,"1S/C5H8N2/c1-4-5(6)2-3-7-4/h2-3,7H,6H2,1H3",-0.1744,0.0523,0.2267,1.4211,64.04
966,CC1=C(N)NC=C1,"1S/C5H8N2/c1-4-2-3-7-5(4)6/h2-3,7H,6H2,1H3",-0.1911,0.0569,0.248,1.0524,63.33
986,CC1=CNC=C1C,"1S/C6H9N/c1-5-3-7-4-6(5)2/h3-4,7H,1-2H3",-0.1946,0.0566,0.2512,1.553,67.02
987,CC1=CNC=C1N,"1S/C5H8N2/c1-4-2-7-3-5(4)6/h2-3,7H,6H2,1H3",-0.1733,0.0597,0.2329,1.7114,63.55
991,NC1=CNC=C1N,"1S/C4H7N3/c5-3-1-7-2-4(3)6/h1-2,7H,5-6H2",-0.1708,0.064,0.2348,1.2377,59.91
995,CN1C=CC=C1C,"1S/C6H9N/c1-6-4-3-5-7(6)2/h3-5H,1-2H3",-0.191,0.0511,0.2421,2.0775,67.42
996,CN1C=CC=C1N,"1S/C5H8N2/c1-7-4-2-3-5(7)6/h2-4H,6H2,1H3",-0.1817,0.0545,0.2363,1.725,63.78
998,CN1C=CN=C1C,"1S/C5H8N2/c1-5-6-3-4-7(5)2/h3-4H,1-2H3",-0.2105,0.0365,0.2471,3.7673,62.88
1000,CN1C=NC=C1C,"1S/C5H8N2/c1-5-3-6-4-7(5)2/h3-4H,1-2H3",-0.211,0.0372,0.2483,4.0475,62.88
1005,C#CC1=CC=CN1,"1S/C6H5N/c1-2-6-4-3-5-7-6/h1,3-5,7H",-0.2014,0.0006,0.202,1.6894,67.41
1007,C#CC1=CN=CN1,"1S/C5H4N2/c1-2-5-3-6-4-7-5/h1,3-4H,(H,6,7)",-0.2202,-0.0122,0.208,3.156,62.39
1009,C#CC1=NC=CN1,"1S/C5H4N2/c1-2-5-6-3-4-7-5/h1,3-4H,(H,6,7)",-0.2204,-0.0156,0.2049,3.6066,62.77
1011,N#CC1=CC=CN1,"1S/C5H4N2/c6-4-5-2-1-3-7-5/h1-3,7H",-0.2336,-0.0234,0.2101,4.4099,60.82
1013,N#CC1=CN=CN1,"1S/C4H3N3/c5-1-4-2-6-3-7-4/h2-3H,(H,6,7)",-0.2551,-0.0376,0.2175,3.5836,56.07
1015,N#CC1=NC=CN1,"1S/C4H3N3/c5-3-4-6-1-2-7-4/h1-2H,(H,6,7)",-0.2529,-0.0417,0.2111,5.4748,56.52
1017,C#CC1=CNC=C1,"1S/C6H5N/c1-2-6-3-4-7-5-6/h1,3-5,7H",-0.2054,0.0167,0.2222,2.834,65.16
1018,C#CC1=CNC=N1,"1S/C5H4N2/c1-2-5-3-6-4-7-5/h1,3-4H,(H,6,7)",-0.2181,0.005,0.2231,4.1333,61.03
1021,N#CC1=CNC=C1,"1S/C5H4N2/c6-3-5-1-2-7-4-5/h1-2,4,7H",-0.2362,-0.0066,0.2296,6.359,58.94
1022,N#CC1=CNC=N1,"1S/C4H3N3/c5-1-4-2-6-3-7-4/h2-3H,(H,6,7)",-0.2538,-0.0199,0.2339,7.3289,54.88
1039,CCC1=CC=CN1,"1S/C6H9N/c1-2-6-4-3-5-7-6/h3-5,7H,2H2,1H3",-0.1938,0.0483,0.2422,1.8514,67.23
